Name,Year,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
mission: impossible ii,2000,215409889.0,39.4,330978219.0,60.6,546388108.0
gladiator,2000,187705427.0,40.8,272878533.0,59.2,460583960.0
cast away,2000,233632142.0,54.4,196000000.0,45.6,429632142.0
what women want,2000,182811707.0,48.9,191300000.0,51.1,374111707.0
dinosaur,2000,137748063.0,39.4,212074702.0,60.6,349822765.0
how the grinch stole christmas,2000,260745620.0,75.4,85096578.0,24.6,345842198.0
meet the parents,2000,166244045.0,50.3,164200000.0,49.7,330444045.0
the perfect storm,2000,182618434.0,55.6,146100000.0,44.4,328718434.0
x0men,2000,157299718.0,53.1,139039810.0,46.9,296339528.0
what lies beneath,2000,155464351.0,53.3,135956000.0,46.7,291420351.0
scary movie,2000,157019771.0,56.5,121000000.0,43.5,278019771.0
charlie's angels,2000,125305545.0,47.4,138800000.0,52.6,264105545.0
erin brockovich,2000,125595205.0,49.0,130676081.0,51.0,256271286.0
unbreakable,2000,95011339.0,38.3,153106782.0,61.7,248118121.0
gone in 60 seconds,2000,101648571.0,42.9,135553728.0,57.1,237202299.0
chicken run,2000,106834564.0,47.5,118000000.0,52.5,224834564.0
vertical limit,2000,69243859.0,32.1,146420000.0,67.9,215663859.0
the patriot,2000,113330342.0,52.6,101964000.0,47.4,215294342.0
"crouching tiger, hidden dragon",2000,128078872.0,60.0,85446864.0,40.0,213525736.0
miss congeniality,2000,106807667.0,50.2,105935053.0,49.8,212742720.0
traffic,2000,124115725.0,59.8,83400000.0,40.2,207515725.0
hollow man,2000,73209340.0,38.5,117004115.0,61.5,190213455.0
102 dalmatians,2000,66957026.0,36.5,116654745.0,63.5,183611771.0
big momma's house,2000,117559438.0,67.6,56400000.0,32.4,173959438.0
the emperor's new groove,2000,89302687.0,52.7,80025000.0,47.3,169327687.0
nutty professor ii: the klumps,2000,123309890.0,74.1,43030000.0,25.9,166339890.0
scream 3,2000,89143175.0,55.1,72691101.0,44.9,161834276.0
chocolat,2000,71509363.0,46.8,81190583.0,53.2,152699946.0
"me, myself & irene",2000,90570999.0,60.7,58700000.0,39.3,149270999.0
the beach,2000,39785027.0,27.6,104271846.0,72.4,144056873.0
remember the titans,2000,115654751.0,84.6,21051932.0,15.4,136706683.0
pokémon the movie 2000,2000,43758684.0,32.7,90190586.0,67.3,133949270.0
space cowboys,2000,90464773.0,70.2,38419359.0,29.8,128884132.0
u0571,2000,77122415.0,60.4,50544000.0,39.6,127666415.0
the family man,2000,75793305.0,60.8,48951778.0,39.2,124745083.0
road trip,2000,68540777.0,57.2,51213501.0,42.8,119754278.0
coyote ugly,2000,60786269.0,53.4,53130205.0,46.6,113916474.0
final destination,2000,53331147.0,47.2,59549147.0,52.8,112880294.0
the exorcist 2000 director's cut,2000,39671011.0,35.4,72382055.0,64.6,112053066.0
mission to mars,2000,60883407.0,54.9,50100000.0,45.1,110983407.0
the kid,2000,69691949.0,63.2,40625631.0,36.8,110317580.0
billy elliot,2000,21995263.0,20.1,87285000.0,79.9,109280263.0
shaft,2000,70334258.0,65.6,36862240.0,34.4,107196498.0
the whole nine yards,2000,57262492.0,53.8,49109159.0,46.2,106371651.0
the cell,2000,61334059.0,58.9,42821784.0,41.1,104155843.0
rugrats in paris,2000,76507756.0,74.1,26783375.0,25.9,103291131.0
shanghai noon,2000,56937502.0,57.4,42336965.0,42.6,99274467.0
the tigger movie,2000,45554533.0,47.4,50605267.0,52.6,96159800.0
the 6th day,2000,34604280.0,36.0,61481197.0,64.0,96085477.0
romeo must die,2000,55973336.0,61.5,35063424.0,38.5,91036760.0
fantasia 2000,2000,60655420.0,66.7,30219150.0,33.3,90874570.0
autumn in new york,2000,37761915.0,41.6,52964753.0,58.4,90726668.0
bring it on,2000,68379000.0,75.6,22070929.0,24.4,90449929.0
bedazzled,2000,37886980.0,41.9,52496228.0,58.1,90383208.0
snatch,2000,30328156.0,36.3,53229716.0,63.7,83557872.0
men of honor,2000,48818921.0,59.3,33524574.0,40.7,82343495.0
finding forrester,2000,51804714.0,64.7,28245050.0,35.3,80049764.0
the road to el dorado,2000,50863742.0,66.5,25568985.0,33.5,76432727.0
"dude, where's my car?",2000,46729800.0,63.9,26450923.0,36.1,73180723.0
"o brother, where art thou?",2000,45512588.0,63.3,26355739.0,36.7,71868327.0
rules of engagement,2000,61335230.0,85.5,10397073.0,14.5,71732303.0
frequency,2000,45010278.0,66.1,23095967.0,33.9,68106245.0
thirteen days,2000,34592089.0,52.0,31987801.0,48.0,66579890.0
proof of life,2000,32598931.0,51.9,30162074.0,48.1,62761005.0
snow day,2000,60020107.0,96.1,2444624.0,3.9,62464731.0
28 days,2000,37170488.0,59.8,25028457.0,40.2,62198945.0
taxi 2,2000,626164.0,1.0,60100000.0,99.0,60726164.0
keeping the faith,2000,37047880.0,61.8,22897303.0,38.2,59945183.0
next friday,2000,57328603.0,95.8,2498725.0,4.2,59827328.0
the flintstones in viva rock vegas,2000,35268275.0,59.3,24200000.0,40.7,59468275.0
little nicky,2000,39464775.0,67.7,18827520.0,32.3,58292295.0
pay it forward,2000,33519628.0,60.2,22187783.0,39.8,55707411.0
bounce,2000,36805288.0,68.9,16620004.0,31.1,53425292.0
pitch black,2000,39240659.0,73.8,13947000.0,26.2,53187659.0
hanging up,2000,36050230.0,69.5,15829814.0,30.5,51880044.0
the skulls,2000,35046120.0,69.0,15756000.0,31.0,50802120.0
the replacements,2000,44737059.0,89.4,5317452.0,10.6,50054511.0
book of shadows: blair witch 2,2000,26437094.0,55.4,21300000.0,44.6,47737094.0
almost famous,2000,32534850.0,68.7,14848839.0,31.3,47383689.0
the watcher,2000,28946615.0,61.2,18321214.0,38.8,47267829.0
high fidelity,2000,27287137.0,57.9,19839158.0,42.1,47126295.0
dracula 2000,2000,33022767.0,70.2,14030858.0,29.8,47053625.0
the gift,2000,12008642.0,26.9,32558964.0,73.1,44567606.0
where the heart is,2000,33772838.0,82.6,7090880.0,17.4,40863718.0
bless the child,2000,29381494.0,72.6,11061516.0,27.4,40443010.0
the art of war,2000,30208599.0,74.8,10191826.0,25.2,40400425.0
dancer in the dark,2000,4184036.0,10.5,35847843.0,89.5,40031879.0
the legend of bagger vance,2000,30919168.0,78.4,8540259.0,21.6,39459427.0
urban legends: final cut,2000,21468807.0,55.7,17105555.0,44.3,38574362.0
the original kings of comedy,2000,38182790.0,100.0,0.0,0.0,38182790.0
titan a.e.,2000,22753426.0,61.9,14001208.0,38.1,36754634.0
return to me,2000,32722798.0,89.4,3887197.0,10.6,36609995.0
my dog skip,2000,34134641.0,96.0,1413120.0,4.0,35547761.0
the adventures of rocky & bullwinkle,2000,26005820.0,74.0,9129000.0,26.0,35134820.0
american psycho,2000,15070285.0,44.0,19196279.0,56.0,34266564.0
dungeons & dragons,2000,15391970.0,45.3,18586724.0,54.7,33978694.0
red planet,2000,17480890.0,52.2,15983079.0,47.8,33463969.0
wonder boys,2000,19393557.0,58.0,14033031.0,42.0,33426588.0
reindeer games,2000,23368995.0,72.6,8799975.0,27.4,32168970.0
lost souls,2000,16815253.0,53.6,14540657.0,46.4,31355910.0
small time crooks,2000,17266359.0,57.7,12668118.0,42.3,29934477.0
battlefield earth,2000,21471685.0,72.2,8253978.0,27.8,29725663.0
nurse betty,2000,25170054.0,85.7,4190346.0,14.3,29360400.0
boiler room,2000,16970581.0,59.0,11809674.0,41.0,28780255.0
the little vampire,2000,13572400.0,48.5,14393465.0,51.5,27965865.0
love & basketball,2000,27459615.0,99.0,268503.0,1.0,27728118.0
cirque du soleil: journey of man,2000,15627434.0,56.7,11910925.0,43.3,27538359.0
center stage,2000,17200925.0,65.2,9185016.0,34.8,26385941.0
saving grace,2000,12178602.0,46.3,14151880.0,53.7,26330482.0
boys and girls,2000,21799652.0,84.3,4050963.0,15.7,25850615.0
down to you,2000,20069008.0,82.2,4350906.0,17.8,24419914.0
the next best thing,2000,14990582.0,61.5,9372190.0,38.5,24362772.0
dr. t & the women,2000,13113041.0,57.4,9731250.0,42.6,22844291.0
the contender,2000,17872723.0,79.9,4489088.0,20.1,22361811.0
michael jordan to the max,2000,18650521.0,87.7,2618011.0,12.3,21268532.0
best in show,2000,18715392.0,90.0,2074164.0,10.0,20789556.0
thomas and the magic railroad,2000,15933506.0,80.7,3814503.0,19.3,19748009.0
get carter,2000,14967182.0,77.1,4445811.0,22.9,19412993.0
