Feature,Coefficient,Std_Error,t_value,p_value
const,-61.67628226605652,6.73678497127289,-9.155150792114865,1.0584675752253085e-19
Budget(USD)_Inflated,0.27040146361248407,0.025811087144218262,10.47617491280504,3.445970103483196e-25
Runtime(mins),0.034081554095050495,0.02366491204293163,1.440172438977231,0.14993732677758376
Audience_Score,-0.1465552579952641,0.02465951756308529,-5.943151873119117,3.1644252745380152e-09
Critics_Score,0.09166939315382154,0.024310710291558953,3.7707410460010515,0.0001663384934307991
Year,0.03059917678446105,0.003353747123146296,9.123877162138161,1.400895069038986e-19
emotion_score,0.04234897638027484,0.017737952764632404,2.3874782474736436,0.017034445721153396
drama,-0.04951499108710998,0.04232112454144939,-1.1699828779033248,0.24211358984507325
comedy,-0.2643475429984388,0.04414548765018682,-5.988098831145659,2.411731299252754e-09
thriller,0.16307652845177228,0.04885035569869549,3.3382874314695545,0.0008546749873768578
action,0.07171034401786386,0.052141031480067955,1.3753150250830135,0.16915062138967046
adventure,0.1452145775589363,0.0528287237848491,2.7487807229706878,0.006022489432799352
romance film,0.15332366198986094,0.04744268937584396,3.231765821183139,0.001245427998280974
horror,0.012646766353371437,0.06299533420776893,0.20075719118594293,0.8409039198908058
fantasy,0.07039455410971646,0.059524961151160245,1.1826056287706515,0.23707209680681948
mystery,0.12398024295603645,0.06132404450444733,2.0217231912524163,0.04330576843000229
crime fiction,-0.03335613339214478,0.051990557010096375,-0.6415806121420692,0.5212012853399035
indie,0.05307435415115589,0.07363597669232762,0.7207666216327363,0.471117003920541
biography,-0.05737078057351423,0.07336027612224424,-0.7820415026507556,0.43426039585043497
family film,-0.0732027960093289,0.08109987997157896,-0.9026252077682785,0.36680728268780893
sci-fi,0.012997431830936886,0.058997637276393976,0.2203042771025916,0.8256512429023968
period piece,-0.029753757266510333,0.08331572944176245,-0.3571205277306989,0.7210301532743381
animation,0.5021186769955782,0.10113673316591214,4.964750800995972,7.31763746366469e-07
teen,-0.06866389101333845,0.08979197034561295,-0.7646996802614792,0.4445188212285881
film adaptation,0.09547976829736539,0.08792011772746726,1.085983171602788,0.2775856998197866
musical,0.010868003313027275,0.07718195675437217,0.14081015524929186,0.8880306751224374
history,-0.08015201531160526,0.10119382575088992,-0.7920642857096485,0.42839443754342277
coming of age,-0.14796240259927795,0.10637685651106989,-1.3909266305860482,0.16436502680911994
sports,-0.4961085801895321,0.08898908482804652,-5.574937433598311,2.7274532158616532e-08
black comedy,0.17636637167927102,0.10181919795072814,1.7321524351882776,0.08336335800206444
war film,0.1824447217916834,0.1194236111034553,1.527710643698704,0.12670432784811772
Worldwide_profit,0.0016678085277517627,0.0011318726725405872,1.47349482694747,0.14073701203229477
Rating_pg,-0.12762917981454314,0.16627167021556027,-0.7675942609410269,0.4427969962869148
Rating_pg-13,0.023301482108180394,0.16808386338308584,0.1386300959484324,0.8897530450459998
Rating_r,0.18752826157863478,0.16925671180453095,1.1079516999905152,0.26798372107446156
Month_Aug,-0.13022549110683468,0.08099906875862854,-1.607740596313488,0.10801171745727123
Month_Dec,0.34588290285809487,0.08296372683507529,4.169085889134177,3.1568520865287675e-05
Month_Feb,-0.05075698701161891,0.08659902715146864,-0.5861149793616143,0.557848412852379
Month_Jan,0.05285527175517453,0.08329613510152183,0.6345465091598093,0.5257792695175438
Month_Jul,0.10224448851377854,0.08591227793490414,1.19010333530266,0.2341129101984748
Month_Jun,0.02051701660484917,0.08547722909866032,0.24002903254114413,0.8103264061281243
Month_Mar,-0.141191807957318,0.08259921196350502,-1.7093602299704878,0.08750189830802768
Month_May,0.04087247391966242,0.08832984127423908,0.46272554473142313,0.6435992855459614
Month_Nov,0.25607746936781733,0.08233008898371427,3.1103752288968383,0.0018884710706377984
Month_Oct,0.15436262678921023,0.07766850750030863,1.9874545263869896,0.046975330596223164
Month_Sep,0.06465898004253504,0.08175769299296165,0.7908611125818018,0.42909616372433546
emotion_disgust,0.1264939315294398,0.071136869090812,1.7781768180992055,0.07549001762927
emotion_fear,-0.021520970490118526,0.060677079401073364,-0.3546803950115276,0.7228574012423934
emotion_joy,0.054245703465179096,0.09367980457698305,0.5790544046299939,0.5626019216237549
emotion_neutral,0.022858740365204057,0.05809737249346458,0.39345566562025597,0.6940147706181887
emotion_sadness,-0.02417956928263454,0.07134469558583946,-0.338911941302525,0.7347030528474053
emotion_surprise,-0.2957504179130702,0.10863035771657557,-2.722539298680249,0.006520867270883269
