Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Freaky ,2020,English,United States,Horror,"$6,000,000 (worldwide box office is 3.0 times production budget)",101 minutes,"R for strong bloody horror violence, sexual content, and language throughout.(Rating bulletin 2647 (#52895), 9/16/2020)","$9,030,855","$9,042,578","$18,073,433"
Pollock ,2000,,United States,Drama,"$6,000,000 (worldwide box office is 1.8 times production budget)",122 minutes,R for language and brief sexuality,"$8,596,914","$1,960,377","$10,557,291"
Dolphins and Whales Tribes of the Ocean 3D ,2008,English,"Bahamas, United Kingdom",Documentary,"$6,000,000 (worldwide box office is 2.9 times production budget)",42 minutes,Not Rated,"$7,714,996","$9,537,291","$17,252,287"
200 Cigarettes ,1999,,,Romantic Comedy,"$6,000,000 (worldwide box office is 1.1 times production budget)",,R for strong language and sexual content,"$6,852,450",,
Journey to Bethlehem ,2023,English,United States,Musical,"$6,000,000 (worldwide box office is 1.3 times production budget)",98 minutes,"PG for thematic elements.(Rating bulletin 2795 (cert #54391), 8/9/2023)","$6,820,796","$1,014,266","$7,835,062"
City Island ,2010,English,United States,Comedy,"$6,000,000 (worldwide box office is 1.4 times production budget)",104 minutes,"PG-13 For sexual content, smoking and language","$6,671,283","$1,502,203","$8,173,486"
Marcel the Shell with Shoes On ,2022,English,United States,Comedy,"$6,000,000 (worldwide box office is 1.2 times production budget)",89 minutes,"PG for some suggestive material and thematic elements.(Rating bulletin 2711 (cert #53496), 12/15/2021)","$6,333,703","$778,066","$7,111,769"
Unbroken: Path to Redemption ,2018,English,United States,Drama,"$6,000,000 (worldwide box office is 1.0 times production budget)",98 minutes,"PG-13 for thematic content and related disturbing images.(Rating bulletin 2529 (Cert #51621), 5/30/2018)","$6,216,897",,
Casa de mi Padre ,2012,Spanish,United States,Comedy,"$6,000,000 (worldwide box office is 1.4 times production budget)",84 minutes,"R for bloody violence, language, some sexual content and drug use.(Rating bulletin 2166, 4/6/2011)","$5,909,483","$2,537,469","$8,446,952"
The Guard ,2011,English,Ireland,Comedy,"$6,000,000 (worldwide box office is 3.5 times production budget)",96 minutes,"R for pervasive language, some violence, drug material and sexual content.(Rating bulletin 2168, 4/20/2011)","$5,359,774","$15,837,680","$21,197,454"
The Virgin Suicides ,2000,English,"Canada, United States",Black Comedy,"$6,000,000 (worldwide box office is 1.8 times production budget)",97 minutes,R for strong thematic elements involving teens,"$4,859,475","$5,760,295","$10,619,770"
College ,2008,English,United States,Comedy,"$6,000,000 (worldwide box office is 1.0 times production budget)",94 minutes,"R for pervasive crude and sexual content, nudity, language, drug and alcohol use.","$4,694,491","$1,481,623","$6,176,114"
La science des rêves ,2006,"English, French, Spanish",France,Comedy,"$6,000,000 (worldwide box office is 2.5 times production budget)",105 minutes,"R for language, some sexual content and nudity","$4,670,644","$10,467,288","$15,137,932"
Little Voice ,1998,,United Kingdom,Musical,"$6,000,000 (worldwide box office is 3.6 times production budget)",96 minutes,R for language and brief nudity,"$4,595,000","$17,192,233","$21,787,233"
Miss March ,2009,English,United States,Comedy,"$6,000,000 (worldwide box office is 0.8 times production budget)",90 minutes,"R for strong crude and sexual content, nudity, pervasive language and some drug use","$4,543,320","$169,739","$4,713,059"
