Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
Boyz n the Hood, (1991),"$57,504,069","$25,001","$6,500,000",1 hr 52 min,R,Crime;Drama
Bad Boys for Life, (2020),"$206,305,244","$220,200,000","$90,000,000",2 hr 4 min,R,Action;Comedy;Crime;Thriller
Boys Life 2, (1997),"$532,654",,,1 hr 14 min,,Drama
Boys Life 3, (2000),"$208,538",,,1 hr 19 min,,Drama;Romance
Boys Life 4: Four Play, (2003),"$53,169",,,1 hr 23 min,,Comedy;Drama
All the Boys Love Mandy Lane, (2006),"$1,904,640","$1,904,640",,1 hr 30 min,R,Horror;Mystery;Thriller
Mulholland Falls, (1996),"$11,526,099",,,1 hr 47 min,R,Crime;Drama;Mystery;Thriller
Boys on the Side, (1995),"$23,440,188",,,1 hr 55 min,R,Comedy;Drama
Boys Over Flowers: Final, (2008),"$72,243,609","$72,243,609",,2 hr 11 min,,Drama
Ah Boys to Men 3: Frogmen, (2015),"$5,607,373","$5,607,373",,2 hr 28 min,,Action;Comedy
Boys Town, (1938),,,,1 hr 36 min,,Biography;Drama;Family
Boys Will Be Boys, (2016),"$574,527","$574,527",,1 hr 52 min,,Comedy
Rough Night, (2017),"$22,105,643","$25,241,640","$20,000,000",1 hr 41 min,R,Comedy
BoyTown, (2006),"$2,351,515","$2,351,515",,1 hr 28 min,,Comedy;Music
Roots, (2005),"$278,886","$278,886",,1 hr 43 min,,Comedy;Drama
120 BPM, (2017),"$125,189","$7,579,180",,2 hr 23 min,,Drama
Brad's Status, (2017),"$2,133,158","$1,672,264",,1 hr 42 min,R,Comedy;Drama;Music
Braddock: Missing in Action III, (1988),"$6,193,901",,,1 hr 43 min,,Action;War
Anando Brahma, (2017),"$10,588","$10,588",,2 hr 3 min,,Comedy;Horror
The Creator, (2023),"$40,774,679","$63,497,457",,2 hr 13 min,PG-13,Action;Adventure;Drama;Sci-Fi;Thriller
Brahmastra Part One: Shiva, (2022),"$7,839,108","$42,325,677",,2 hr 47 min,,Action;Adventure;Fantasy
Brahms: The Boy II, (2020),"$12,611,536","$7,700,000","$10,000,000",1 hr 26 min,PG-13,Drama;Horror;Mystery;Thriller
Braid, (2018),"$80,745","$80,745",,1 hr 22 min,R,Crime;Horror;Mystery;Thriller
Brain Dead, (1990),"$1,627,955",,,1 hr 25 min,,Horror;Mystery;Sci-Fi;Thriller
Brain Donors, (1992),"$918,239",,,1 hr 20 min,,Comedy
Blood of My Blood, (2015),"$424,494","$424,494",,1 hr 46 min,,Drama;History;Mystery
Brainscan, (1994),"$4,352,094",,,1 hr 36 min,R,Horror;Sci-Fi
A Love Story, (1970),"$169,374","$169,374",,1 hr 55 min,,Drama;Romance
Cypher, (2002),"$898,365","$898,365",,1 hr 35 min,R,Mystery;Sci-Fi;Thriller
Brainstorm, (1983),"$10,219,460",,,1 hr 46 min,,Sci-Fi;Thriller
Brainwashed: Sex-Camera-Power, (2022),"$28,826","$17,251",,1 hr 47 min,,Documentary
Brake, (2012),"$4,876","$97,943",,1 hr 32 min,R,Thriller
Bram Stoker's Dracula, (1992),"$82,522,790","$133,339,902","$40,000,000",2 hr 8 min,R,Fantasy;Horror;Romance
Bran Nue Dae, (2009),"$113,568","$6,698,962",,1 hr 25 min,PG-13,Comedy;Drama;Musical
The House of the Devil, (2009),"$101,215",,,1 hr 35 min,R,Horror;Mystery
Branded, (2012),"$353,513","$3,874,471",,1 hr 52 min,R,Drama;Fantasy;Sci-Fi;Thriller
Licence to Kill, (1989),"$34,667,015","$121,500,000",,2 hr 13 min,PG-13,Action;Adventure;Thriller
Standing on the Shoulders of Kitties, (2024),,,,1 hr 51 min,R,Comedy;Music
Brannigan, (1975),,,,1 hr 51 min,,Action;Comedy;Crime;Drama
The Sound of Rio: Brasileirinho, (2005),"$88,965","$88,965",,1 hr 30 min,,Documentary;Music
Brassed Off, (1996),"$2,576,331","$11,375",,1 hr 48 min,R,Comedy;Drama;Music;Romance
Brass Target, (1978),"$5,011,158",,,1 hr 51 min,,Action;Drama;Mystery;Thriller;War
Spoiled Brats, (2021),"$3,910,041","$3,910,041",,1 hr 35 min,,Comedy
Bratz, (2007),"$10,010,209","$16,002,944",,1 hr 50 min,PG,Comedy;Family;Music
Diamonds Are Forever, (1971),"$43,819,547","$10,386",,2 hr,,Action;Adventure;Thriller
Brave Hearts: Umizaru, (2012),"$91,884,352","$91,884,352",,1 hr 56 min,,Action
Little Tailor, (2010),"$11,018","$11,018",,44 min,,Drama;Romance;Short
Captain America: Brave New World, (2025),,,,,,Action;Adventure;Sci-Fi
Brave Story, (2006),"$11,413,156","$11,413,156",,1 hr 52 min,,Adventure;Animation;Fantasy;Mystery
Braveheart, (1995),"$75,609,945","$137,606,271","$72,000,000",2 hr 58 min,R,Biography;Drama;War
