,Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
0,10 cloverfield lane,2016,english,united states,"drama, horror, sci-fi, thriller",5000000,72082999,0.6540098138582053,38134000,0.3459901861417947,110216999
1,12 monkeys,1995,english,united states,"mystery, sci-fi, thriller",29000000,57141459,0.338436638795437,111698000,0.6615633612045629,168839459
2,12 strong,2018,english,united states,"action, drama, history, war",35000000,45819713,0.6442738753125107,25298665,0.3557261246874894,71118378
5,13 sins,2014,english,united states,"horror, thriller",4000000,13809,0.0166994593143414,813104,0.9833005406856586,826913
7,2 guns,2013,english,united states,"action, comedy, thriller",61000000,75612460,0.5706901605341232,56880555,0.4293098394658767,132493015
8,20 feet from stardom,2013,english,united states,"biography, documentary, history, music",1000000,4946445,0.847085677765128,892923,0.152914322234872,5839368
10,21 bridges,2019,english,united states,"action, adventure, crime, drama, mystery, thriller",33000000,28539757,0.5714836978481894,21400000,0.4285163021518106,49939757
11,22 jump street,2014,english,united states,"action, comedy, crime",50000000,191719337,0.5786288420445123,139614539,0.4213711579554878,331333876
16,47 meters down: uncaged,2019,english,"united states,united kingdom","adventure, drama, horror, thriller",12000000,22260900,0.4678373462144105,25321663,0.5321626537855895,47582563
21,99 homes,2014,english,united states,"crime, drama",8000000,1411927,0.7722909346297406,416305,0.2277090653702593,1828232
22,a bad moms christmas,2017,english,united states,comedy,28000000,72110659,0.5523163496369665,58449769,0.4476836503630334,130560428
24,a cure for wellness,2016,english,"united states,germany,luxembourg","drama, fantasy, horror, mystery, sci-fi, thriller",40000000,8106986,0.3045449057441844,18513016,0.6954550942558156,26620002
28,a ghost story,2017,"english,spanish",united states,"drama, fantasy, mystery, romance",100000,1596371,0.8179458446889172,355312,0.1820541553110828,1951683
29,a haunted house,2013,english,united states,"comedy, fantasy, horror",2500000,40041683,0.6655910885288037,20117901,0.3344089114711963,60159584
30,a haunted house 2,2014,english,united states,"comedy, fantasy, horror",4000000,17329487,0.6833739656466059,8029230,0.3166260343533941,25358717
32,a madea family funeral,2019,english,united states,"comedy, drama",20000000,73257045,0.9800571856869222,1490680,0.0199428143130777,74747725
33,a million ways to die in the west,2014,english,united states,"comedy, western",40000000,43139300,0.4947343765417694,44057592,0.5052656234582306,87196892
34,a most violent year,2014,english,"united states,united arab emirates","crime, drama, thriller",20000000,5749134,0.4788123996945133,6257936,0.5211876003054867,12007070
36,a quiet place,2018,"english,american sign language",united states,"drama, horror, sci-fi",17000000,188024361,0.5514891576276522,152915000,0.4485108423723478,340939361
42,a very harold & kumar christmas,2011,english,united states,"adventure, comedy",19000000,35061031,0.96873011257081,1131744,0.0312698874291899,36192775
49,accidental love,2015,english,united states,"comedy, romance",26000000,24487,0.5,24487,0.5,48974
51,action point,2018,english,united states,comedy,19000000,5059608,0.9913679645384108,44055,0.008632035461589,5103663
53,adaptation.,2002,english,united states,"comedy, drama",19000000,22498520,0.6859059583021619,10302653,0.314094041697838,32801173
69,alien resurrection,1997,english,united states,"action, horror, sci-fi",75000000,47795658,0.2961756244043843,113580411,0.7038243755956157,161376069
71,alien: covenant,2017,english,"united kingdom,united states","horror, sci-fi, thriller",97000000,74262031,0.3082796608533269,166629732,0.6917203391466731,240891763
72,alita: battle angel,2019,english,united states,"action, adventure, sci-fi, thriller",170000000,85838210,0.2119563803340547,319142333,0.7880436196659453,404980543
81,american assassin,2017,english,united states,"action, thriller",63000000,36249674,0.5306631489849091,32060466,0.4693368510150909,68310140
84,american hustle,2013,english,united states,"crime, drama",40000000,150117807,0.5976698133162692,101054000,0.4023301866837308,251171807
86,american sniper,2014,english,united states,"action, biography, drama, war",58000000,350126372,0.639352649729586,197500000,0.3606473502704139,547626372
87,american ultra,2015,english,united states,"action, comedy",28000000,14440985,0.4766626502985804,15855043,0.5233373497014197,30296028
